city,neighborhood,address,building_type,surface_area_m2,rooms,bedrooms,bathrooms,floor_level,has_elevator,year_built,age,has_parking,has_terrace,has_garden,has_pool,price_tnd
Hammamet,Touristique,"Touristique, Hammamet",Duplex,92.98734983321164,1,1,1,5,True,1998,28,True,False,True,False,850000
Tunis,Centre Ville,"Centre Ville, Tunis",Penthouse,20.0,5,4,2,4,True,2025,1,False,False,False,True,483000
Sfax,Agricole,"Agricole, Sfax",Penthouse,133.5695490498849,5,3,2,2,False,2019,7,False,False,True,False,322000
Mahdia,Touristique,"Touristique, Mahdia",Penthouse,137.28067081926844,1,1,1,5,True,1978,48,False,False,True,False,509000
Gabes,Résidentiel,"Résidentiel, Gabes",Studio,125.89422530516775,3,2,1,4,False,2011,15,True,True,False,False,134000
Monastir,Résidentiel,"Résidentiel, Monastir",Duplex,155.21111447422084,3,1,1,2,False,1982,44,True,True,True,False,600000
Bizerte,Luxueux,"Luxueux, Bizerte",Riad,166.07070903372394,2,1,1,3,False,2010,16,True,False,False,False,555000
Tunis,Centre Ville,"Centre Ville, Tunis",Villa,117.76198461939133,3,1,1,5,True,1978,48,True,True,True,False,922000
Tunis,Centre Ville,"Centre Ville, Tunis",Studio,78.11452840525152,1,1,1,3,True,2018,8,False,True,False,False,240000
Sfax,Populaire,"Populaire, Sfax",Riad,188.3077314136824,2,2,1,2,False,1971,55,True,False,False,True,445000
Mahdia,Touristique,"Touristique, Mahdia",Dar (Maison Traditionnelle),122.34502828451055,4,3,1,0,False,1972,54,True,True,False,False,349000
Mahdia,Centre Ville,"Centre Ville, Mahdia",Duplex,163.55378644227977,3,2,1,3,True,1970,56,True,False,False,False,456000
Kairouan,Centre Ville,"Centre Ville, Kairouan",Maison,130.90125460662824,2,1,1,4,False,2013,13,True,True,True,False,368000
Sfax,Touristique,"Touristique, Sfax",Appartement,20.0,4,2,1,5,False,2010,16,True,True,False,False,193000
La Marsa,Agricole,"Agricole, La Marsa",Penthouse,199.17386386247998,1,1,1,0,False,1997,29,False,True,False,False,560000
Mahdia,Populaire,"Populaire, Mahdia",Maison,145.5431494574159,7,5,2,0,False,2011,15,True,False,True,False,399000
Nabeul,Centre Ville,"Centre Ville, Nabeul",Maison,106.0094828811497,2,1,1,5,False,2002,24,False,True,True,False,350000
Kairouan,Touristique,"Touristique, Kairouan",Riad,85.94724196926606,4,3,1,1,False,1995,31,True,False,True,False,459000
Hammamet,Agricole,"Agricole, Hammamet",Penthouse,219.4384011957273,4,2,1,3,True,1987,39,True,False,False,False,700000
Mahdia,Côtière,"Côtière, Mahdia",Villa,170.9692988480105,3,2,1,1,False,2005,21,False,False,True,False,710000
Hammamet,Agricole,"Agricole, Hammamet",Villa,133.82480716869415,1,1,1,3,False,2025,1,False,False,False,False,437000
Djerba,Agricole,"Agricole, Djerba",Penthouse,154.2421368665788,2,1,1,5,True,1965,61,True,False,True,False,577000
Gammarth,Résidentiel,"Résidentiel, Gammarth",Villa,183.4454821257913,4,1,1,0,False,1989,37,True,True,False,True,1570000
Gabes,Résidentiel,"Résidentiel, Gabes",Appartement,184.06962744914185,4,2,1,3,False,1961,65,True,True,False,False,245000
La Marsa,Centre Ville,"Centre Ville, La Marsa",Villa,108.97569229162943,3,2,1,0,False,2017,9,False,False,False,False,735000
Sidi Bou Said,Périphérie,"Périphérie, Sidi Bou Said",Duplex,143.55528999312435,1,1,1,1,False,1981,45,False,False,True,False,483000
Tunis,Centre Ville,"Centre Ville, Tunis",Villa,142.2099163645336,5,4,2,2,False,2014,12,True,True,True,False,1063000
Sfax,Populaire,"Populaire, Sfax",Appartement,148.83969119569085,1,1,1,5,False,2004,22,False,False,False,False,255000
La Marsa,Touristique,"Touristique, La Marsa",Penthouse,127.27605988841204,2,1,1,1,False,1998,28,True,True,False,False,868000
Djerba,Périphérie,"Périphérie, Djerba",Villa,79.75167595737196,2,1,1,3,False,1965,61,True,True,False,True,431000
Bizerte,Périphérie,"Périphérie, Bizerte",Dar (Maison Traditionnelle),134.3097379524011,1,1,1,3,True,2006,20,True,False,False,False,291000
Bizerte,Côtière,"Côtière, Bizerte",Appartement,257.5361515268665,2,1,1,2,False,1969,57,False,True,False,False,429000
Gabes,Populaire,"Populaire, Gabes",Duplex,62.184144383267785,6,5,2,1,False,2019,7,True,False,True,False,200000
Gammarth,Périphérie,"Périphérie, Gammarth",Duplex,175.81378318775575,5,4,2,3,False,2018,8,False,False,True,False,922000
Nabeul,Luxueux,"Luxueux, Nabeul",Dar (Maison Traditionnelle),177.37696067969475,2,1,1,0,False,2005,21,True,False,False,False,587000
Hammamet,Populaire,"Populaire, Hammamet",Dar (Maison Traditionnelle),153.24635811508705,2,1,1,1,False,2025,1,False,True,False,False,478000
La Marsa,Populaire,"Populaire, La Marsa",Duplex,49.79993518094511,7,5,2,2,False,1978,48,True,True,True,True,633000
Djerba,Résidentiel,"Résidentiel, Djerba",Dar (Maison Traditionnelle),64.19011943201552,6,4,2,5,True,2015,11,False,True,True,False,715000
Mahdia,Touristique,"Touristique, Mahdia",Dar (Maison Traditionnelle),146.5283302268867,2,1,1,2,False,1992,34,True,True,False,False,371000
Tozeur,Luxueux,"Luxueux, Tozeur",Appartement,121.92534912478796,3,2,1,5,False,2013,13,False,True,False,False,239000
Kairouan,Luxueux,"Luxueux, Kairouan",Dar (Maison Traditionnelle),139.92245614289396,2,1,1,5,False,2014,12,False,True,False,False,400000
Sfax,Populaire,"Populaire, Sfax",Riad,61.56294857534368,1,1,1,0,False,1980,46,False,False,True,False,185000
Mahdia,Périphérie,"Périphérie, Mahdia",Villa,89.17738273494764,1,1,1,1,False,1966,60,True,False,False,False,217000
Kairouan,Touristique,"Touristique, Kairouan",Villa,114.64235594822317,5,3,1,4,False,1999,27,True,False,False,False,400000
Gabes,Agricole,"Agricole, Gabes",Studio,64.42098752432244,3,1,1,3,False,1976,50,True,False,False,False,50000
Gabes,Populaire,"Populaire, Gabes",Riad,125.97784622992424,3,1,1,2,False,2004,22,True,True,True,False,244000
Djerba,Côtière,"Côtière, Djerba",Appartement,152.02714675373866,3,1,1,2,False,1983,43,False,True,True,True,819000
Sousse,Côtière,"Côtière, Sousse",Studio,226.0284060215251,4,1,1,0,False,2004,22,False,False,True,False,476000
Nabeul,Centre Ville,"Centre Ville, Nabeul",Duplex,131.45373441028514,5,4,2,2,False,1978,48,True,False,True,False,395000
Djerba,Touristique,"Touristique, Djerba",Studio,161.93810719546155,2,1,1,1,False,2014,12,False,False,True,False,463000
Hammamet,Résidentiel,"Résidentiel, Hammamet",Penthouse,146.12809604376636,1,1,1,2,False,2007,19,False,False,False,False,558000
Djerba,Côtière,"Côtière, Djerba",Dar (Maison Traditionnelle),124.70621338946381,2,1,1,1,False,1968,58,True,True,False,False,652000
Tozeur,Luxueux,"Luxueux, Tozeur",Villa,235.18193760523945,1,1,1,3,True,1972,54,False,False,False,False,519000
Sidi Bou Said,Touristique,"Touristique, Sidi Bou Said",Duplex,101.80403032551817,3,2,1,3,False,1972,54,False,False,True,False,712000
Hammamet,Agricole,"Agricole, Hammamet",Studio,222.4906047892963,3,2,1,1,False,2011,15,False,False,False,False,316000
Tozeur,Centre Ville,"Centre Ville, Tozeur",Villa,129.93480921907016,5,4,2,4,False,2010,16,False,False,False,False,317000
La Marsa,Agricole,"Agricole, La Marsa",Maison,158.00591881281807,5,3,1,0,False,1961,65,True,False,True,False,525000
Sfax,Résidentiel,"Résidentiel, Sfax",Maison,201.12491704505067,3,1,1,4,True,2023,3,False,True,True,False,537000
Nabeul,Populaire,"Populaire, Nabeul",Studio,94.93153641660908,1,1,1,0,False,1975,51,True,True,False,False,119000
Gabes,Touristique,"Touristique, Gabes",Penthouse,85.36225711509786,1,1,1,1,False,2010,16,True,True,True,False,264000
Djerba,Luxueux,"Luxueux, Djerba",Villa,169.51192268525915,2,1,1,2,False,1966,60,False,False,False,False,789000
Mahdia,Populaire,"Populaire, Mahdia",Maison,164.13240385065598,2,1,1,2,False,1985,41,False,False,False,False,215000
Gabes,Centre Ville,"Centre Ville, Gabes",Appartement,100.3839498743629,3,1,1,5,False,2013,13,False,False,False,False,189000
Kairouan,Côtière,"Côtière, Kairouan",Dar (Maison Traditionnelle),84.78374048957343,2,1,1,5,True,1962,64,False,False,False,False,240000
Nabeul,Centre Ville,"Centre Ville, Nabeul",Penthouse,159.71227955004838,2,1,1,1,False,1992,34,True,False,False,False,522000
Monastir,Agricole,"Agricole, Monastir",Riad,27.804260586736007,3,1,1,0,False,2020,6,False,False,False,False,149000
Monastir,Périphérie,"Périphérie, Monastir",Studio,80.95224040670277,2,1,1,1,False,1986,40,False,True,False,False,120000
Sidi Bou Said,Luxueux,"Luxueux, Sidi Bou Said",Studio,159.66427025825627,4,2,1,0,False,1972,54,False,False,True,True,666000
Sfax,Centre Ville,"Centre Ville, Sfax",Villa,55.66193526736318,3,1,1,4,False,1990,36,False,False,False,False,291000
Tunis,Côtière,"Côtière, Tunis",Appartement,113.5377371023741,2,1,1,4,True,2020,6,True,True,False,False,547000
Monastir,Agricole,"Agricole, Monastir",Studio,141.572691699738,4,2,1,3,True,1961,65,True,True,False,False,140000
Gammarth,Centre Ville,"Centre Ville, Gammarth",Penthouse,127.25318729796908,4,2,1,0,False,2001,25,False,False,False,False,907000
Sfax,Côtière,"Côtière, Sfax",Villa,126.44670956239074,2,1,1,4,True,1993,33,True,False,False,False,570000
Monastir,Populaire,"Populaire, Monastir",Riad,128.40299029834102,2,1,1,2,False,2002,24,False,False,True,False,425000
Gammarth,Résidentiel,"Résidentiel, Gammarth",Duplex,192.77904092446767,4,2,1,5,False,1977,49,True,True,True,False,1141000
Gabes,Centre Ville,"Centre Ville, Gabes",Maison,21.55384287919584,3,3,1,1,False,1977,49,False,False,False,False,111000
Nabeul,Résidentiel,"Résidentiel, Nabeul",Duplex,35.0251285660778,4,3,1,3,False,2008,18,False,True,False,True,260000
Sidi Bou Said,Périphérie,"Périphérie, Sidi Bou Said",Maison,152.37044392874014,5,4,2,2,False,2015,11,False,False,True,False,727000
Bizerte,Côtière,"Côtière, Bizerte",Villa,53.04191322317591,3,1,1,2,False,2019,7,True,True,True,False,339000
Hammamet,Touristique,"Touristique, Hammamet",Appartement,20.0,3,2,1,1,False,1977,49,True,True,True,False,387000
Tunis,Populaire,"Populaire, Tunis",Penthouse,67.87111526647118,1,1,1,2,False,1981,45,False,True,True,False,275000
Kairouan,Agricole,"Agricole, Kairouan",Penthouse,135.98163379587382,4,2,1,0,False,2010,16,False,False,True,False,239000
La Marsa,Côtière,"Côtière, La Marsa",Studio,149.30829001963917,2,1,1,1,False,1999,27,True,False,True,False,591000
Kairouan,Touristique,"Touristique, Kairouan",Dar (Maison Traditionnelle),123.43185242138577,2,1,1,2,False,1975,51,False,True,True,False,261000
Nabeul,Périphérie,"Périphérie, Nabeul",Penthouse,73.29261434460778,4,3,1,0,False,1981,45,True,True,True,False,262000
Gabes,Populaire,"Populaire, Gabes",Penthouse,141.00957714474958,2,1,1,1,False,1982,44,True,False,True,False,174000
La Marsa,Luxueux,"Luxueux, La Marsa",Studio,86.0347615317132,2,1,1,4,True,2016,10,False,True,False,False,422000
Hammamet,Résidentiel,"Résidentiel, Hammamet",Appartement,92.53200725322792,5,3,2,1,False,1988,38,False,False,True,False,406000
Djerba,Côtière,"Côtière, Djerba",Duplex,197.65205381463244,1,1,1,1,False,1990,36,True,True,True,False,1207000
Sfax,Populaire,"Populaire, Sfax",Maison,154.10679833727906,3,2,1,5,True,1980,46,False,False,False,False,315000
Tunis,Touristique,"Touristique, Tunis",Riad,98.27596437251763,1,1,1,3,True,2010,16,False,True,False,True,993000
Djerba,Résidentiel,"Résidentiel, Djerba",Studio,161.41148450923114,5,3,1,1,False,2017,9,False,True,False,False,360000
Sfax,Populaire,"Populaire, Sfax",Duplex,136.6506023558129,1,1,1,5,True,2019,7,True,True,True,False,408000
Kairouan,Touristique,"Touristique, Kairouan",Dar (Maison Traditionnelle),83.0683903179098,4,3,1,4,True,2000,26,True,False,True,False,339000
La Marsa,Agricole,"Agricole, La Marsa",Penthouse,48.55713817279046,3,1,1,1,False,2016,10,False,True,True,False,306000
Sidi Bou Said,Touristique,"Touristique, Sidi Bou Said",Riad,91.00132004295878,2,1,1,1,False,1999,27,True,False,False,False,774000
Gammarth,Populaire,"Populaire, Gammarth",Riad,135.97623353914778,5,4,2,1,False,1976,50,False,False,True,False,726000
Gammarth,Agricole,"Agricole, Gammarth",Appartement,173.46397287862206,1,1,1,2,False,2006,20,False,False,False,False,409000
La Marsa,Périphérie,"Périphérie, La Marsa",Appartement,112.78035907735143,2,1,1,1,False,1978,48,True,False,True,False,409000
Nabeul,Périphérie,"Périphérie, Nabeul",Villa,159.3515418435807,3,1,1,0,False,2025,1,True,True,False,False,314000
Sfax,Périphérie,"Périphérie, Sfax",Penthouse,127.15243849394761,4,3,1,2,False,2022,4,True,False,False,False,452000
Tozeur,Agricole,"Agricole, Tozeur",Duplex,109.0484092823761,5,3,1,3,True,2005,21,True,False,False,False,199000
La Marsa,Résidentiel,"Résidentiel, La Marsa",Studio,141.4670411400867,4,2,1,5,True,1969,57,False,False,True,False,402000
Tunis,Touristique,"Touristique, Tunis",Riad,216.99941957381674,2,1,1,1,False,2002,24,False,True,True,False,1313000
Bizerte,Agricole,"Agricole, Bizerte",Appartement,87.27990524157426,2,1,1,2,False,2022,4,True,True,True,False,161000
Nabeul,Populaire,"Populaire, Nabeul",Villa,147.41598137772493,4,2,1,4,True,1985,41,False,True,False,False,351000
Tunis,Périphérie,"Périphérie, Tunis",Riad,157.63411576430286,1,1,1,2,False,1979,47,False,False,True,False,590000
Sousse,Centre Ville,"Centre Ville, Sousse",Riad,156.13417206029806,4,3,1,4,True,2003,23,False,True,False,False,763000
Nabeul,Luxueux,"Luxueux, Nabeul",Villa,87.96341261177784,8,7,4,2,False,2010,16,True,False,False,False,624000
Gabes,Populaire,"Populaire, Gabes",Duplex,101.53066339681578,3,1,1,2,False,2023,3,True,False,False,False,177000
Monastir,Résidentiel,"Résidentiel, Monastir",Maison,145.76471608122336,2,2,1,1,False,1976,50,True,False,False,False,403000
Sidi Bou Said,Touristique,"Touristique, Sidi Bou Said",Appartement,108.02490389891251,5,4,2,5,False,1973,53,False,False,False,False,666000
Gammarth,Côtière,"Côtière, Gammarth",Villa,72.60926224357766,4,3,1,1,False,1969,57,False,True,False,False,754000
Gabes,Luxueux,"Luxueux, Gabes",Maison,111.18223317906586,3,2,1,1,False,1963,63,True,True,True,False,315000
Sfax,Résidentiel,"Résidentiel, Sfax",Studio,137.78344742816148,3,2,1,4,True,1967,59,True,True,False,False,266000
Gabes,Populaire,"Populaire, Gabes",Duplex,195.40237957095766,3,3,1,3,False,2012,14,True,False,True,False,289000
Kairouan,Centre Ville,"Centre Ville, Kairouan",Riad,147.65745781896047,2,1,1,1,False,2013,13,False,False,True,False,473000
Mahdia,Populaire,"Populaire, Mahdia",Studio,34.89356467308059,4,2,1,1,False,1960,66,True,False,True,False,93000
Tunis,Périphérie,"Périphérie, Tunis",Penthouse,20.0,3,2,1,2,False,1983,43,False,True,True,False,344000
Djerba,Agricole,"Agricole, Djerba",Maison,138.8546046871238,3,1,1,3,True,2016,10,True,False,False,False,441000
Tozeur,Côtière,"Côtière, Tozeur",Appartement,95.58630787742277,4,3,1,1,False,2011,15,False,False,True,False,228000
Tunis,Luxueux,"Luxueux, Tunis",Appartement,86.29047198308866,5,3,1,2,False,1994,32,True,False,False,False,423000
Hammamet,Centre Ville,"Centre Ville, Hammamet",Studio,204.22898730084495,6,4,2,3,False,1989,37,False,False,True,False,545000
Tozeur,Touristique,"Touristique, Tozeur",Riad,49.421692240802145,4,4,2,2,False,2001,25,False,True,False,False,210000
Sidi Bou Said,Luxueux,"Luxueux, Sidi Bou Said",Riad,62.88301601166488,5,3,1,3,True,2024,2,True,False,True,False,1386000
Nabeul,Luxueux,"Luxueux, Nabeul",Duplex,118.47986167347507,4,4,2,1,False,2017,9,False,False,True,False,448000
Djerba,Luxueux,"Luxueux, Djerba",Penthouse,138.06107982004403,3,2,1,4,True,1961,65,False,True,False,True,1094000
Sfax,Touristique,"Touristique, Sfax",Riad,103.90434294349548,3,1,1,4,True,1974,52,True,False,True,False,661000
Bizerte,Populaire,"Populaire, Bizerte",Maison,51.43165659088088,3,1,1,1,False,2009,17,False,False,False,False,166000
Sousse,Populaire,"Populaire, Sousse",Appartement,105.70608519032625,1,1,1,3,True,2024,2,True,False,True,False,319000
Hammamet,Touristique,"Touristique, Hammamet",Villa,148.15677275841298,1,1,1,4,True,1999,27,False,True,False,False,917000
Djerba,Populaire,"Populaire, Djerba",Appartement,101.91837381914206,2,1,1,3,False,1984,42,False,False,True,False,294000
Bizerte,Populaire,"Populaire, Bizerte",Duplex,185.55837489013123,3,2,1,3,True,2013,13,False,False,True,False,354000
Sfax,Côtière,"Côtière, Sfax",Duplex,128.0890956300629,3,2,1,0,False,2012,14,True,False,False,False,479000
Bizerte,Agricole,"Agricole, Bizerte",Appartement,148.0446361340903,1,1,1,2,False,2013,13,False,True,False,False,144000
Kairouan,Populaire,"Populaire, Kairouan",Riad,34.53451523544773,4,2,1,2,False,2002,24,True,False,False,True,211000
La Marsa,Agricole,"Agricole, La Marsa",Studio,223.0411400567673,4,3,1,4,True,2000,26,False,True,True,False,385000
Gammarth,Centre Ville,"Centre Ville, Gammarth",Villa,70.1022356488414,2,1,1,5,False,1994,32,False,True,False,False,707000
Gabes,Luxueux,"Luxueux, Gabes",Riad,204.21742580624905,5,4,2,0,False,1961,65,False,True,True,False,586000
Bizerte,Populaire,"Populaire, Bizerte",Dar (Maison Traditionnelle),183.59462109693283,3,1,1,0,False,2014,12,False,False,True,False,312000
Sfax,Côtière,"Côtière, Sfax",Penthouse,150.94431490115767,5,4,2,5,False,2023,3,False,True,True,False,736000
Sfax,Luxueux,"Luxueux, Sfax",Penthouse,115.25878843595639,2,1,1,3,False,2008,18,True,False,False,False,582000
Mahdia,Centre Ville,"Centre Ville, Mahdia",Riad,20.0,5,3,1,3,True,2012,14,True,True,True,False,321000
Nabeul,Luxueux,"Luxueux, Nabeul",Duplex,125.61605827349062,5,3,1,3,False,2021,5,False,False,True,False,523000
Tunis,Côtière,"Côtière, Tunis",Duplex,169.31882529529685,2,1,1,4,False,2003,23,True,False,False,True,947000
Monastir,Centre Ville,"Centre Ville, Monastir",Duplex,111.2589818018062,1,1,1,2,False,2019,7,False,False,False,False,448000
Tozeur,Touristique,"Touristique, Tozeur",Appartement,66.69333642633447,3,2,1,4,False,1989,37,True,True,True,False,218000
Sousse,Agricole,"Agricole, Sousse",Villa,113.36784278704376,1,1,1,4,True,2021,5,False,False,True,False,385000
Sousse,Périphérie,"Périphérie, Sousse",Penthouse,123.23105155902661,1,1,1,3,False,1980,46,True,False,False,True,305000
Hammamet,Luxueux,"Luxueux, Hammamet",Maison,148.55897031096043,3,1,1,4,False,2024,2,True,False,True,False,948000
La Marsa,Centre Ville,"Centre Ville, La Marsa",Maison,125.526765873697,2,1,1,3,False,2014,12,False,False,True,False,680000
Mahdia,Touristique,"Touristique, Mahdia",Studio,107.09596450679746,3,2,1,2,False,2025,1,True,False,False,False,220000
Kairouan,Côtière,"Côtière, Kairouan",Dar (Maison Traditionnelle),103.9768725120178,3,1,1,0,False,1978,48,False,True,False,False,257000
Gammarth,Résidentiel,"Résidentiel, Gammarth",Appartement,103.64931570032559,3,1,1,0,False,2001,25,True,True,False,True,674000
Gabes,Touristique,"Touristique, Gabes",Penthouse,77.86016988790692,4,3,1,0,False,1982,44,True,True,False,False,261000
Kairouan,Périphérie,"Périphérie, Kairouan",Maison,20.0,2,1,1,1,False,1960,66,True,True,True,False,120000
Nabeul,Touristique,"Touristique, Nabeul",Riad,128.21473826852846,6,5,2,3,False,1986,40,False,True,True,False,694000
La Marsa,Touristique,"Touristique, La Marsa",Dar (Maison Traditionnelle),129.93972941694267,5,4,2,2,False,1997,29,True,True,True,False,969000
Tozeur,Côtière,"Côtière, Tozeur",Penthouse,169.88160384601224,3,2,1,0,False,2023,3,False,True,True,False,427000
Gabes,Touristique,"Touristique, Gabes",Appartement,81.89523575271743,3,1,1,1,False,1971,55,False,True,False,False,146000
Monastir,Centre Ville,"Centre Ville, Monastir",Penthouse,69.67047917951146,2,1,1,3,False,1976,50,False,True,True,False,371000
Bizerte,Touristique,"Touristique, Bizerte",Appartement,172.0253988674552,3,1,1,5,True,2010,16,False,True,True,False,446000
Nabeul,Côtière,"Côtière, Nabeul",Studio,200.32736931441673,2,1,1,2,False,1991,35,False,True,False,False,267000
Monastir,Centre Ville,"Centre Ville, Monastir",Duplex,142.1286176780284,1,1,1,0,False,1969,57,False,True,True,False,468000
Tozeur,Luxueux,"Luxueux, Tozeur",Duplex,165.4598175849761,2,1,1,2,False,1963,63,True,False,True,False,326000
Hammamet,Résidentiel,"Résidentiel, Hammamet",Villa,20.0,5,3,1,4,False,1999,27,False,False,True,False,448000
Monastir,Résidentiel,"Résidentiel, Monastir",Appartement,125.08426977236488,3,2,1,0,False,1961,65,True,False,False,False,285000
Nabeul,Centre Ville,"Centre Ville, Nabeul",Maison,155.42801574283226,3,1,1,2,False,2026,0,True,True,False,False,459000
Kairouan,Populaire,"Populaire, Kairouan",Penthouse,177.01567075013043,7,4,2,2,False,2004,22,False,True,False,False,248000
Monastir,Côtière,"Côtière, Monastir",Maison,104.13247538787326,4,3,2,2,False,1993,33,True,False,False,False,491000
Nabeul,Résidentiel,"Résidentiel, Nabeul",Duplex,21.7035502926511,3,2,1,1,False,2016,10,True,True,False,False,209000
Kairouan,Populaire,"Populaire, Kairouan",Villa,36.355304934421284,4,3,1,5,False,1961,65,False,False,True,False,141000
Sfax,Côtière,"Côtière, Sfax",Appartement,71.6738299536468,6,4,2,3,False,2008,18,False,False,True,False,370000
Sfax,Luxueux,"Luxueux, Sfax",Dar (Maison Traditionnelle),89.12718486416355,4,2,1,2,False,2001,25,False,True,True,False,466000
Mahdia,Résidentiel,"Résidentiel, Mahdia",Dar (Maison Traditionnelle),169.72236877544537,4,1,1,4,False,2018,8,False,False,True,False,473000
Mahdia,Côtière,"Côtière, Mahdia",Dar (Maison Traditionnelle),138.05998718756993,4,3,1,4,True,1997,29,True,False,True,False,465000
Monastir,Luxueux,"Luxueux, Monastir",Penthouse,127.29182351076919,4,3,2,0,False,1978,48,True,True,False,False,628000
Gammarth,Côtière,"Côtière, Gammarth",Maison,57.947893939818,5,3,2,2,False,2017,9,False,False,False,False,721000
Hammamet,Luxueux,"Luxueux, Hammamet",Maison,158.16670754669383,4,3,2,3,False,1994,32,False,True,False,False,808000
Bizerte,Côtière,"Côtière, Bizerte",Riad,116.41765570941759,5,3,1,1,False,1968,58,True,False,True,False,585000
Mahdia,Côtière,"Côtière, Mahdia",Riad,193.99932065903283,3,2,1,2,False,2008,18,False,True,True,False,550000
Sfax,Touristique,"Touristique, Sfax",Duplex,103.24502606003827,5,4,2,5,False,1964,62,True,False,False,False,461000
Sousse,Résidentiel,"Résidentiel, Sousse",Dar (Maison Traditionnelle),84.49959441649891,3,1,1,5,True,2025,1,False,True,False,False,420000
Sousse,Agricole,"Agricole, Sousse",Penthouse,206.44399436983431,1,1,1,5,False,2023,3,False,True,True,False,530000
Gabes,Luxueux,"Luxueux, Gabes",Villa,147.5942985911077,4,2,1,5,True,1968,58,True,True,True,True,615000
Gabes,Touristique,"Touristique, Gabes",Studio,194.83552037229907,2,1,1,5,False,1987,39,False,False,True,False,203000
Mahdia,Agricole,"Agricole, Mahdia",Villa,30.97714239967435,4,2,1,1,False,1964,62,False,False,False,True,143000
Djerba,Centre Ville,"Centre Ville, Djerba",Penthouse,62.17920916280716,4,3,1,0,False,2011,15,False,True,False,True,686000
Sfax,Agricole,"Agricole, Sfax",Penthouse,213.36121021561576,5,4,2,3,False,1961,65,True,True,False,False,378000
La Marsa,Luxueux,"Luxueux, La Marsa",Dar (Maison Traditionnelle),223.04797182312564,3,2,1,5,False,1962,64,False,False,False,False,889000
Sousse,Périphérie,"Périphérie, Sousse",Villa,84.97110867426801,4,2,1,1,False,2024,2,True,False,False,True,518000
Sousse,Côtière,"Côtière, Sousse",Riad,201.1087459434927,1,1,1,0,False,1970,56,True,True,True,False,849000
Sousse,Luxueux,"Luxueux, Sousse",Dar (Maison Traditionnelle),79.74141241285619,5,2,1,2,False,1969,57,True,True,False,False,432000
Kairouan,Luxueux,"Luxueux, Kairouan",Riad,67.81927949321816,4,2,1,0,False,1966,60,False,False,False,False,288000
Mahdia,Touristique,"Touristique, Mahdia",Appartement,154.52363430607565,3,2,1,4,True,1987,39,False,True,False,False,321000
Tunis,Luxueux,"Luxueux, Tunis",Studio,90.4662719057574,2,1,1,5,False,2010,16,False,True,False,True,358000
Gabes,Résidentiel,"Résidentiel, Gabes",Studio,204.3151787101432,2,1,1,3,True,1995,31,True,True,False,False,186000
Mahdia,Côtière,"Côtière, Mahdia",Penthouse,173.7166502385122,4,4,2,4,True,2006,20,False,True,False,False,630000
Bizerte,Périphérie,"Périphérie, Bizerte",Studio,117.34465991515447,2,1,1,4,False,2008,18,False,False,True,False,169000
Tunis,Périphérie,"Périphérie, Tunis",Appartement,102.72656764299639,2,1,1,2,False,2000,26,False,True,True,False,357000
Nabeul,Périphérie,"Périphérie, Nabeul",Villa,134.22458929472583,3,1,1,3,False,1973,53,True,True,True,False,430000
Mahdia,Résidentiel,"Résidentiel, Mahdia",Villa,81.328125406617,3,1,1,0,False,1977,49,False,False,False,False,290000
Tozeur,Populaire,"Populaire, Tozeur",Dar (Maison Traditionnelle),97.59830702831445,1,1,1,1,False,1963,63,True,False,False,False,110000
Sousse,Luxueux,"Luxueux, Sousse",Dar (Maison Traditionnelle),115.27588429277564,4,3,2,4,True,2011,15,False,True,True,False,659000
Gammarth,Luxueux,"Luxueux, Gammarth",Duplex,124.88991567013554,3,1,1,5,False,1992,34,False,True,False,False,821000
Mahdia,Côtière,"Côtière, Mahdia",Riad,125.61905948983475,2,1,1,5,False,1961,65,True,False,True,False,450000
Gabes,Agricole,"Agricole, Gabes",Dar (Maison Traditionnelle),143.74118724948127,1,1,1,0,False,1994,32,False,False,True,False,165000
Nabeul,Côtière,"Côtière, Nabeul",Riad,163.83947772769764,2,1,1,1,False,2003,23,True,False,True,False,530000
Sidi Bou Said,Agricole,"Agricole, Sidi Bou Said",Studio,81.52188094174379,4,3,1,2,False,2014,12,False,True,True,False,245000
Hammamet,Agricole,"Agricole, Hammamet",Dar (Maison Traditionnelle),127.90446126615922,3,2,1,3,False,2001,25,False,True,False,False,420000
Gammarth,Centre Ville,"Centre Ville, Gammarth",Appartement,206.49426993417222,1,1,1,5,True,2011,15,True,False,True,False,989000
Djerba,Résidentiel,"Résidentiel, Djerba",Dar (Maison Traditionnelle),163.16094895087116,1,1,1,0,False,2016,10,True,True,False,False,606000
Hammamet,Centre Ville,"Centre Ville, Hammamet",Maison,150.70646397252216,2,1,1,1,False,1986,40,True,False,False,False,739000
Tunis,Luxueux,"Luxueux, Tunis",Riad,20.0,4,2,1,1,False,1975,51,True,True,True,False,598000
Sidi Bou Said,Côtière,"Côtière, Sidi Bou Said",Maison,95.48892039923552,1,1,1,1,False,2008,18,True,True,True,False,856000
Sidi Bou Said,Touristique,"Touristique, Sidi Bou Said",Studio,150.7587219094336,3,1,1,1,False,1989,37,False,False,False,False,444000
Sousse,Touristique,"Touristique, Sousse",Appartement,20.0,1,1,1,1,False,2005,21,True,False,True,False,271000
Nabeul,Populaire,"Populaire, Nabeul",Riad,100.46340427959058,3,3,1,1,False,1988,38,False,True,False,False,226000
